Date,Time,Message Type,Instrument code,Exchange Code,Security Type,Unknown,add modify delete,Root symbol,Expiration day,Expiration month,Expiration year,Strike price,Contract size,Contract name,Original exchange contract cod,Call or put,Source of Static,Exercise Type,Listing market for the exchange,Listed Currency,Country of listing,Exchange name,QS Symbol Suffix,
15/04/2022,23:45:14:447,S,IXN22FHB63500,126,2,1.41E+18,2,IXN,17,f5=6,2022,635,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:45:14:822,S,IXN22IGB63000,126,2,1.41E+18,2,IXN,16,f5=9,2022,630,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:45:15:828,S,IXN23MKB63500,126,2,1.41E+18,2,IXN,20,f5=1,2023,635,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:45:16:387,S,IXN22UGB63000,126,2,1.41E+18,2,IXN,16,f5=9,2022,630,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:45:16:575,S,IXN22FHB63000,126,2,1.41E+18,2,IXN,17,f5=6,2022,630,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:45:16:951,S,IXN23AKB63500,126,2,1.41E+18,2,IXN,20,f5=1,2023,635,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:45:19:076,S,IXN23AKB63000,126,2,1.41E+18,2,IXN,20,f5=1,2023,630,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:45:19:076,S,IXN23MKB63000,126,2,1.41E+18,2,IXN,20,f5=1,2023,630,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:45:19:504,S,IXN22UGB63500,126,2,1.41E+18,2,IXN,16,f5=9,2022,635,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:45:20:701,S,IXN22RHB63000,126,2,1.41E+18,2,IXN,17,f5=6,2022,630,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:45:21:502,S,IXN22IGB63500,126,2,1.41E+18,2,IXN,16,f5=9,2022,635,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:47:18:633,S,IXN24AJB49000,126,2,1.41E+18,2,IXN,19,f5=1,2024,490,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:47:20:383,S,IXN24MJB39500,126,2,1.41E+18,2,IXN,19,f5=1,2024,395,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:47:21:141,S,IXN24MJB41000,126,2,1.41E+18,2,IXN,19,f5=1,2024,410,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:47:25:952,S,IXN24MJB49000,126,2,1.41E+18,2,IXN,19,f5=1,2024,490,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:47:26:451,S,IXN24AJB42000,126,2,1.41E+18,2,IXN,19,f5=1,2024,420,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:47:27:080,S,IXN24AJB40500,126,2,1.41E+18,2,IXN,19,f5=1,2024,405,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:47:33:130,S,IXN24AJB42500,126,2,1.41E+18,2,IXN,19,f5=1,2024,425,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:47:34:133,S,IXN24AJB48000,126,2,1.41E+18,2,IXN,19,f5=1,2024,480,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:47:35:827,S,IXN24MJB48500,126,2,1.41E+18,2,IXN,19,f5=1,2024,485,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:47:37:821,S,IXN24MJB49500,126,2,1.41E+18,2,IXN,19,f5=1,2024,495,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:47:43:194,S,IXN24MJB37000,126,2,1.41E+18,2,IXN,19,f5=1,2024,370,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:47:46:258,S,IXN24AJB39000,126,2,1.41E+18,2,IXN,19,f5=1,2024,390,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:47:50:256,S,IXN24MJB40500,126,2,1.41E+18,2,IXN,19,f5=1,2024,405,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:47:55:202,S,IXN24AJB44500,126,2,1.41E+18,2,IXN,19,f5=1,2024,445,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:47:57:319,S,IXN24AJB36500,126,2,1.41E+18,2,IXN,19,f5=1,2024,365,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:48:01:567,S,IXN24AJB40000,126,2,1.41E+18,2,IXN,19,f5=1,2024,400,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:48:04:764,S,IXN24MJB45000,126,2,1.41E+18,2,IXN,19,f5=1,2024,450,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:48:09:570,S,IXN24MJB42500,126,2,1.41E+18,2,IXN,19,f5=1,2024,425,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:48:23:946,S,IXN24MJB39000,126,2,1.41E+18,2,IXN,19,f5=1,2024,390,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:48:24:010,S,IXN24MJB35500,126,2,1.41E+18,2,IXN,19,f5=1,2024,355,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:48:24:694,S,IXN24AJB41500,126,2,1.41E+18,2,IXN,19,f5=1,2024,415,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:48:26:259,S,IXN24AJB35000,126,2,1.41E+18,2,IXN,19,f5=1,2024,350,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:48:28:508,S,IXN24MJB37500,126,2,1.41E+18,2,IXN,19,f5=1,2024,375,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:48:30:139,S,IXN24MJB46000,126,2,1.41E+18,2,IXN,19,f5=1,2024,460,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:48:43:891,S,IXN24MJB36500,126,2,1.41E+18,2,IXN,19,f5=1,2024,365,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:48:44:641,S,IXN24AJB44000,126,2,1.41E+18,2,IXN,19,f5=1,2024,440,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:48:50:574,S,IXN24MJB44500,126,2,1.41E+18,2,IXN,19,f5=1,2024,445,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:48:54:508,S,IXN24AJB41000,126,2,1.41E+18,2,IXN,19,f5=1,2024,410,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:48:58:135,S,IXN24MJB47500,126,2,1.41E+18,2,IXN,19,f5=1,2024,475,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:49:02:952,S,IXN24MJB43500,126,2,1.41E+18,2,IXN,19,f5=1,2024,435,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:49:06:011,S,IXN24MJB38000,126,2,1.41E+18,2,IXN,19,f5=1,2024,380,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:49:17:069,S,IXN24AJB35500,126,2,1.41E+18,2,IXN,19,f5=1,2024,355,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:49:22:455,S,IXN24MJB35000,126,2,1.41E+18,2,IXN,19,f5=1,2024,350,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:49:23:018,S,IXN24AJB49500,126,2,1.41E+18,2,IXN,19,f5=1,2024,495,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:49:23:383,S,IXN24AJB38000,126,2,1.41E+18,2,IXN,19,f5=1,2024,380,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:49:32:015,S,IXN24MJB41500,126,2,1.41E+18,2,IXN,19,f5=1,2024,415,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:49:33:011,S,IXN24AJB48500,126,2,1.41E+18,2,IXN,19,f5=1,2024,485,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:49:34:572,S,IXN24AJB45500,126,2,1.41E+18,2,IXN,19,f5=1,2024,455,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:49:40:763,S,IXN24AJB36000,126,2,1.41E+18,2,IXN,19,f5=1,2024,360,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:49:48:071,S,IXN24MJB40000,126,2,1.41E+18,2,IXN,19,f5=1,2024,400,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:49:48:461,S,IXN24MJB43000,126,2,1.41E+18,2,IXN,19,f5=1,2024,430,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:49:49:819,S,IXN24AJB37500,126,2,1.41E+18,2,IXN,19,f5=1,2024,375,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:49:52:323,S,IXN24AJB39500,126,2,1.41E+18,2,IXN,19,f5=1,2024,395,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:49:52:392,S,IXN24MJB44000,126,2,1.41E+18,2,IXN,19,f5=1,2024,440,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:50:04:454,S,IXN24MJB42000,126,2,1.41E+18,2,IXN,19,f5=1,2024,420,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:50:06:260,S,IXN24MJB36000,126,2,1.41E+18,2,IXN,19,f5=1,2024,360,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:50:10:699,S,IXN24MJB38500,126,2,1.41E+18,2,IXN,19,f5=1,2024,385,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:50:10:765,S,IXN24AJB37000,126,2,1.41E+18,2,IXN,19,f5=1,2024,370,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:50:14:260,S,IXN24AJB45000,126,2,1.41E+18,2,IXN,19,f5=1,2024,450,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:50:21:821,S,IXN24AJB47000,126,2,1.41E+18,2,IXN,19,f5=1,2024,470,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:50:27:011,S,IXN24MJB48000,126,2,1.41E+18,2,IXN,19,f5=1,2024,480,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:50:29:204,S,IXN24AJB46000,126,2,1.41E+18,2,IXN,19,f5=1,2024,460,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:50:33:887,S,IXN24AJB43000,126,2,1.41E+18,2,IXN,19,f5=1,2024,430,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:50:36:076,S,IXN24MJB45500,126,2,1.41E+18,2,IXN,19,f5=1,2024,455,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:50:47:640,S,IXN24MJB47000,126,2,1.41E+18,2,IXN,19,f5=1,2024,470,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:50:50:327,S,IXN24MJB46500,126,2,1.41E+18,2,IXN,19,f5=1,2024,465,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:50:52:203,S,IXN24AJB38500,126,2,1.41E+18,2,IXN,19,f5=1,2024,385,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:51:01:328,S,IXN24AJB47500,126,2,1.41E+18,2,IXN,19,f5=1,2024,475,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:51:04:578,S,IXN24AJB43500,126,2,1.41E+18,2,IXN,19,f5=1,2024,435,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:51:05:008,S,IXN24AJB46500,126,2,1.41E+18,2,IXN,19,f5=1,2024,465,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:52:23:515,S,IXN22EKB38500,126,2,1.41E+18,2,IXN,20,f5=5,2022,385,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:52:23:515,S,IXN22EKB45500,126,2,1.41E+18,2,IXN,20,f5=5,2022,455,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:52:23:515,S,IXN22QKB38000,126,2,1.41E+18,2,IXN,20,f5=5,2022,380,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:52:23:515,S,IXN22QKB43000,126,2,1.41E+18,2,IXN,20,f5=5,2022,430,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:52:23:515,S,IXN22QKB45500,126,2,1.41E+18,2,IXN,20,f5=5,2022,455,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:53:55:636,S,IXN22EKB40500,126,2,1.41E+18,2,IXN,20,f5=5,2022,405,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:53:55:701,S,IXN22EKB44000,126,2,1.41E+18,2,IXN,20,f5=5,2022,440,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:53:55:953,S,IXN22EKB43500,126,2,1.41E+18,2,IXN,20,f5=5,2022,435,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:53:57:950,S,IXN22QKB48000,126,2,1.41E+18,2,IXN,20,f5=5,2022,480,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:53:59:635,S,IXN22QKB44000,126,2,1.41E+18,2,IXN,20,f5=5,2022,440,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:00:020,S,IXN22QKB34000,126,2,1.41E+18,2,IXN,20,f5=5,2022,340,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:00:383,S,IXN22QKB40500,126,2,1.41E+18,2,IXN,20,f5=5,2022,405,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:01:521,S,IXN22QKB39500,126,2,1.41E+18,2,IXN,20,f5=5,2022,395,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:02:458,S,IXN22EKB46500,126,2,1.41E+18,2,IXN,20,f5=5,2022,465,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
